day,hour,demand
60,1419,1592
60,1420,1644
60,1421,1836
60,1422,2168
60,1423,2489
60,1424,2701
60,1425,2866
60,1426,3002
60,1427,3112
60,1428,2976
60,1429,2721
60,1430,2626
60,1431,2540
60,1432,2459
60,1433,2418
60,1434,2469
60,1435,2678
60,1436,2680
60,1437,2588
60,1438,2351
60,1439,2072
60,1440,1873
61,1441,1783
61,1442,1779
61,1443,1788
61,1444,1885
61,1445,2050
61,1446,2291
61,1447,2537
61,1448,2721
61,1449,2875
61,1450,3003
61,1451,3099
61,1452,2927
61,1453,2669
61,1454,2576
61,1455,2502
61,1456,2409
61,1457,2373
61,1458,2402
61,1459,2594
61,1460,2570
61,1461,2493
61,1462,2326
61,1463,2045
61,1464,1755
62,1465,1621
62,1466,1559
62,1467,1551
62,1468,1600
62,1469,1731
62,1470,1963
62,1471,2173
62,1472,2350
62,1473,2548
62,1474,2715
62,1475,2820
62,1476,2652
62,1477,2407
62,1478,2311
62,1479,2240
62,1480,2182
62,1481,2166
62,1482,2219
62,1483,2415
62,1484,2396
62,1485,2331
62,1486,2183
62,1487,2025
62,1488,1940
63,1489,1864
63,1490,1723
63,1491,1592
63,1492,1568
63,1493,1646
63,1494,1813
63,1495,2007
63,1496,2203
63,1497,2381
63,1498,2565
63,1499,2687
63,1500,2553
63,1501,2348
63,1502,2290
63,1503,2255
63,1504,2215
63,1505,2219
63,1506,2331
63,1507,2491
63,1508,2480
63,1509,2357
63,1510,2043
63,1511,1741
63,1512,1495
64,1513,1391
64,1514,1349
64,1515,1386
64,1516,1486
64,1517,1679
64,1518,2019
64,1519,2354
64,1520,2639
64,1521,2763
64,1522,2834
64,1523,2852
64,1524,2965
64,1525,2950
64,1526,2890
64,1527,2821
64,1528,2721
64,1529,2621
64,1530,2581
64,1531,2718
64,1532,2704
64,1533,2559
64,1534,2230
64,1535,1866
64,1536,1576
65,1537,1456
65,1538,1400
65,1539,1418
65,1540,1515
65,1541,1721
65,1542,2018
65,1543,2373
65,1544,2645
65,1545,2747
65,1546,2833
65,1547,2855
65,1548,2948
65,1549,2929
65,1550,2853
65,1551,2750
65,1552,2655
65,1553,2550
65,1554,2510
65,1555,2722
65,1556,2717
65,1557,2617
65,1558,2297
65,1559,1959
65,1560,1719
66,1561,1603
66,1562,1534
66,1563,1520
66,1564,1590
66,1565,1779
66,1566,2088
66,1567,2429
66,1568,2743
66,1569,2888
66,1570,3016
66,1571,3100
66,1572,2930
66,1573,2664
66,1574,2586
66,1575,2509
66,1576,2429
66,1577,2411
66,1578,2455
66,1579,2685
66,1580,2695
66,1581,2596
66,1582,2291
66,1583,1968
66,1584,1746
67,1585,1657
67,1586,1598
67,1587,1551
67,1588,1622
67,1589,1803
67,1590,2102
67,1591,2453
67,1592,2729
67,1593,2865
67,1594,3001
67,1595,3096
67,1596,2941
67,1597,2696
67,1598,2631
67,1599,2577
67,1600,2495
67,1601,2458
67,1602,2464
67,1603,2647
67,1604,2646
67,1605,2565
67,1606,2341
67,1607,2028
67,1608,1740
68,1609,1640
68,1610,1591
68,1611,1553
68,1612,1602
68,1613,1751
68,1614,2024
68,1615,2331
68,1616,2639
68,1617,2826
68,1618,2998
68,1619,3118
68,1620,2979
68,1621,2755
68,1622,2704
68,1623,2647
68,1624,2567
68,1625,2512
68,1626,2484
68,1627,2619
68,1628,2581
68,1629,2460
68,1630,2165
68,1631,1868
68,1632,1643
69,1633,1545
69,1634,1482
69,1635,1433
69,1636,1483
69,1637,1619
69,1638,1797
69,1639,1983
69,1640,2265
69,1641,2497
69,1642,2707
69,1643,2822
69,1644,2657
69,1645,2415
69,1646,2333
69,1647,2265
69,1648,2204
69,1649,2181
69,1650,2226
69,1651,2413
69,1652,2399
69,1653,2310
69,1654,2050
69,1655,1778
69,1656,1609
70,1657,1596
70,1658,1559
70,1659,1363
70,1660,1584
70,1661,1674
70,1662,1802
70,1663,1944
70,1664,2145
70,1665,2329
70,1666,2523
70,1667,2656
70,1668,2516
70,1669,2300
70,1670,2227
70,1671,2157
70,1672,2101
70,1673,2090
70,1674,2145
70,1675,2195
70,1676,2377
70,1677,2376
70,1678,2155
70,1679,1804
70,1680,1533
71,1681,1394
71,1682,1366
71,1683,1383
71,1684,1459
71,1685,1658
71,1686,1949
71,1687,2344
71,1688,2663
71,1689,2749
71,1690,2814
71,1691,2805
71,1692,2901
71,1693,2865
71,1694,2797
71,1695,2713
71,1696,2622
71,1697,2516
71,1698,2420
71,1699,2411
71,1700,2612
71,1701,2557
71,1702,2279
71,1703,1943
71,1704,1644
72,1705,1505
72,1706,1428
72,1707,1454
72,1708,1531
72,1709,1721
72,1710,2029
72,1711,2421
72,1712,2729
72,1713,2803
72,1714,2877
72,1715,2886
72,1716,2965
72,1717,2950
72,1718,2874
72,1719,2792
72,1720,2690
72,1721,2580
72,1722,2455
72,1723,2508
72,1724,2673
72,1725,2635
72,1726,2390
72,1727,2085
72,1728,1817
73,1729,1680
73,1730,1615
73,1731,1592
73,1732,1637
73,1733,1757
73,1734,2008
73,1735,2379
73,1736,2714
73,1737,2889
73,1738,3066
73,1739,3162
73,1740,2985
73,1741,2784
73,1742,2719
73,1743,2649
73,1744,2577
73,1745,2507
73,1746,2473
73,1747,2490
73,1748,2643
73,1749,2612
73,1750,2378
73,1751,2067
73,1752,1767
74,1753,1644
74,1754,1545
74,1755,1503
74,1756,1568
74,1757,1713
74,1758,1985
74,1759,2374
74,1760,2702
74,1761,2888
74,1762,3073
74,1763,3176
74,1764,2982
74,1765,2771
74,1766,2721
74,1767,2648
