ρ,day,hour,iteration,imbalance_MW,imbalance_up_MW,imbalance_down_MW
0.4,7,168,demand_1,-22.783398000000034,0.0,22.783398000000034
0.5,7,145,demand_1,65.837354,65.837354,-0.0
0.5,7,146,demand_1,-47.95930599999997,0.0,47.95930599999997
0.5,7,147,demand_1,123.21128500000009,123.21128500000009,-0.0
0.5,7,148,demand_1,5.048467999999957,5.048467999999957,-0.0
0.5,7,149,demand_1,8.602501999999959,8.602501999999959,-0.0
0.5,7,150,demand_1,11.085323000000017,11.085323000000017,-0.0
0.5,7,151,demand_1,44.96918400000004,44.96918400000004,-0.0
0.5,7,152,demand_1,257.80649600000015,257.80649600000015,-0.0
0.5,7,153,demand_1,158.93712400000004,158.93712400000004,-0.0
0.5,7,154,demand_1,149.42672600000014,149.42672600000014,-0.0
0.5,7,155,demand_1,-223.50398575000008,0.0,223.50398575000008
0.5,7,156,demand_1,-54.60366699999986,0.0,54.60366699999986
0.5,7,157,demand_1,-86.005991,0.0,86.005991
0.5,7,158,demand_1,-141.18480499999987,0.0,141.18480499999987
0.5,7,159,demand_1,34.39227200000005,34.39227200000005,-0.0
0.5,7,160,demand_1,19.658344999999827,19.658344999999827,-0.0
0.5,7,161,demand_1,-121.13903100000016,0.0,121.13903100000016
0.5,7,162,demand_1,-118.59665600000017,0.0,118.59665600000017
0.5,7,163,demand_1,-127.41208800000004,0.0,127.41208800000004
0.5,7,164,demand_1,-91.99270999999999,0.0,91.99270999999999
0.5,7,165,demand_1,-44.80461500000001,0.0,44.80461500000001
0.5,7,166,demand_1,-72.05884400000014,0.0,72.05884400000014
0.5,7,167,demand_1,-84.26634800000011,0.0,84.26634800000011
0.5,7,168,demand_1,-135.86282459999984,0.0,135.86282459999984
0.6,7,145,demand_1,74.84106399999996,74.84106399999996,-0.0
0.6,7,146,demand_1,46.432223999999906,46.432223999999906,-0.0
0.6,7,147,demand_1,-25.133301000000074,0.0,25.133301000000074
0.6,7,148,demand_1,67.34097199999997,67.34097199999997,-0.0
0.6,7,149,demand_1,50.765493000000106,50.765493000000106,-0.0
0.6,7,150,demand_1,124.37511799999993,124.37511799999993,-0.0
0.6,7,151,demand_1,-67.23446599999988,0.0,67.23446599999988
0.6,7,152,demand_1,-201.95421699999997,0.0,201.95421699999997
0.6,7,153,demand_1,-221.38530257499997,0.0,221.38530257499997
0.6,7,154,demand_1,-155.68753900000002,0.0,155.68753900000002
0.6,7,155,demand_1,-18.340170999999827,0.0,18.340170999999827
0.6,7,156,demand_1,-115.34192500000017,0.0,115.34192500000017
0.6,7,157,demand_1,-105.49100200000021,0.0,105.49100200000021
0.6,7,158,demand_1,37.71514100000013,37.71514100000013,-0.0
0.6,7,159,demand_1,79.32598999999982,79.32598999999982,-0.0
0.6,7,160,demand_1,-8.940818000000036,0.0,8.940818000000036
0.6,7,161,demand_1,98.64042100000006,98.64042100000006,-0.0
0.6,7,162,demand_1,-28.163050999999996,0.0,28.163050999999996
0.6,7,163,demand_1,-78.72537800000009,0.0,78.72537800000009
0.6,7,164,demand_1,41.55668199999991,41.55668199999991,-0.0
0.6,7,165,demand_1,-19.417413000000124,0.0,19.417413000000124
0.6,7,166,demand_1,104.20843800000011,104.20843800000011,-0.0
0.6,7,167,demand_1,77.63389600000005,77.63389600000005,-0.0
0.6,7,168,demand_1,51.21284300000002,51.21284300000002,-0.0
0.7,7,145,demand_1,-20.257867999999917,0.0,20.257867999999917
0.7,7,146,demand_1,47.25444100000004,47.25444100000004,-0.0
0.7,7,147,demand_1,-12.374516000000085,0.0,12.374516000000085
0.7,7,148,demand_1,25.95319100000006,25.95319100000006,-0.0
0.7,7,149,demand_1,0.15034799999989445,0.15034799999989445,-0.0
0.7,7,150,demand_1,-64.56956300000002,0.0,64.56956300000002
0.7,7,151,demand_1,-129.0228619999998,0.0,129.0228619999998
0.7,7,152,demand_1,-228.21012919999976,0.0,228.21012919999976
0.7,7,153,demand_1,-230.47078999999985,0.0,230.47078999999985
0.7,7,154,demand_1,-212.10518267499992,0.0,212.10518267499992
0.7,7,155,demand_1,-151.80823999999984,0.0,151.80823999999984
0.7,7,156,demand_1,-78.65329699999984,0.0,78.65329699999984
0.7,7,157,demand_1,-84.04533300000003,0.0,84.04533300000003
0.7,7,158,demand_1,-99.42098900000019,0.0,99.42098900000019
0.7,7,159,demand_1,-59.46930800000018,0.0,59.46930800000018
0.7,7,160,demand_1,-21.37941499999988,0.0,21.37941499999988
0.7,7,161,demand_1,124.55216000000019,124.55216000000019,-0.0
0.7,7,162,demand_1,-37.48182600000018,0.0,37.48182600000018
0.7,7,163,demand_1,-64.63701899999978,0.0,64.63701899999978
0.7,7,164,demand_1,-67.43719099999998,0.0,67.43719099999998
0.7,7,165,demand_1,-36.75585099999989,0.0,36.75585099999989
0.7,7,166,demand_1,140.409353,140.409353,-0.0
0.7,7,167,demand_1,200.93577067500019,200.93577067500019,-0.0
0.7,7,168,demand_1,145.30147899999997,145.30147899999997,-0.0
0.8,7,145,demand_1,-54.999955,0.0,54.999955
0.8,7,146,demand_1,46.400998999999956,46.400998999999956,-0.0
0.8,7,147,demand_1,31.63141500000006,31.63141500000006,-0.0
0.8,7,148,demand_1,69.4773889999999,69.4773889999999,-0.0
0.8,7,149,demand_1,136.3279070000001,136.3279070000001,-0.0
0.8,7,150,demand_1,175.60240765000026,175.60240765000026,-0.0
0.8,7,151,demand_1,134.78747299999986,134.78747299999986,-0.0
0.8,7,152,demand_1,118.39907499999981,118.39907499999981,-0.0
0.8,7,153,demand_1,133.92223000000013,133.92223000000013,-0.0
0.8,7,154,demand_1,87.49615300000005,87.49615300000005,-0.0
0.8,7,155,demand_1,196.713252,196.713252,-0.0
0.8,7,156,demand_1,226.1015160500001,226.1015160500001,-0.0
0.8,7,157,demand_1,208.02755239999988,208.02755239999988,-0.0
0.8,7,158,demand_1,132.94814700000006,132.94814700000006,-0.0
0.8,7,159,demand_1,130.71738700000014,130.71738700000014,-0.0
0.8,7,160,demand_1,65.4529050000001,65.4529050000001,-0.0
0.8,7,161,demand_1,-80.94987499999979,0.0,80.94987499999979
0.8,7,162,demand_1,-0.022621999999955733,0.0,0.022621999999955733
0.8,7,163,demand_1,-97.81446599999981,0.0,97.81446599999981
0.8,7,164,demand_1,-172.88308700000016,0.0,172.88308700000016
0.8,7,165,demand_1,-203.93021399999998,0.0,203.93021399999998
0.8,7,166,demand_1,-190.62994099999992,0.0,190.62994099999992
0.8,7,167,demand_1,-48.59574399999997,0.0,48.59574399999997
0.8,7,168,demand_1,-20.536149999999907,0.0,20.536149999999907
0.9,7,145,demand_1,16.879809000000023,16.879809000000023,-0.0
0.9,7,146,demand_1,35.913708999999926,35.913708999999926,-0.0
0.9,7,147,demand_1,-24.90915599999994,0.0,24.90915599999994
0.9,7,148,demand_1,-9.072063000000071,0.0,9.072063000000071
